,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
38,shizunai,42.3339,142.3669,4.36,79,55,6.51,JP,1639542674
39,namibe,-15.1961,12.1522,21.55,74,99,1.79,AO,1639542674
40,iqaluit,63.7506,-68.5145,-18.15,71,90,6.17,CA,1639542674
41,getahovit,40.8978,45.1392,4.58,67,100,1.07,AM,1639542675
42,vianen,51.9925,5.0917,10.59,97,100,3.92,NL,1639542675
43,waingapu,-9.6567,120.2641,30.9,62,7,3.07,ID,1639542675
44,san patricio,28.017,-97.5169,23.24,92,92,5.15,US,1639542675
45,arraial do cabo,-22.9661,-42.0278,24.29,92,100,10.57,BR,1639542675
46,yongan,39.6957,113.6871,0.93,37,70,6.28,CN,1639542676
47,cockburn town,21.4612,-71.1419,26.25,74,0,10.52,TC,1639542676
48,katangli,51.7102,143.2326,-15.78,85,5,2.31,RU,1639542676
49,vaini,-21.2,-175.2,28.09,74,20,4.63,TO,1639542677
50,grindavik,63.8424,-22.4338,3.26,81,75,6.69,IS,1639542677
51,kutum,14.2,24.6667,16.06,45,78,3.19,SD,1639542677
52,jamestown,42.097,-79.2353,5.95,58,1,3.13,US,1639542677
53,liberty,31.8335,-81.5004,15.57,90,90,1.34,US,1639542678
54,victoria,22.2855,114.1577,23.47,78,94,1.34,HK,1639542489
55,vendychany,48.6118,27.7932,2.72,87,91,4.37,UA,1639542678
56,chuy,-33.6971,-53.4616,18.58,93,76,3.1,UY,1639542678
57,bubaque,11.2833,-15.8333,27.35,56,100,3.37,GW,1639542679
58,busselton,-33.65,115.3333,24.47,43,0,5.48,AU,1639542624
59,ribeira grande,38.5167,-28.7,16.5,69,73,6.68,PT,1639542679
60,bluff,-46.6,168.3333,18.78,71,100,10.48,NZ,1639542680
61,joetsu,37.1483,138.2364,11.34,67,91,6.9,JP,1639542680
62,mecca,21.4267,39.8261,23.37,54,99,0.39,SA,1639542680
63,cayenne,4.9333,-52.3333,26.16,89,75,0.0,GF,1639542680
64,nanortalik,60.1432,-45.2371,0.19,83,100,0.49,GL,1639542680
65,butaritari,3.0707,172.7902,27.96,76,85,4.03,KI,1639542681
66,maniitsoq,65.4167,-52.9,-5.58,63,69,1.55,GL,1639542681
67,aykhal,66.0,111.5,-29.99,99,72,2.93,RU,1639542681
68,kodiak,57.79,-152.4072,-5.27,63,1,3.6,US,1639542448
69,haftoni,38.7632,48.7622,8.84,100,90,0.0,AZ,1639542682
70,dikson,73.5069,80.5464,-29.93,100,99,2.52,RU,1639542682
71,coquimbo,-29.9533,-71.3436,14.85,88,0,1.54,CL,1639542682
72,mahebourg,-20.4081,57.7,27.92,69,40,6.17,MU,1639542683
73,new norfolk,-42.7826,147.0587,23.28,30,47,1.34,AU,1639542683
74,pombas,17.1503,-25.0201,20.88,75,100,5.27,CV,1639542683
75,torbay,47.6666,-52.7314,-3.57,87,90,11.32,CA,1639542683
76,mount gambier,-37.8333,140.7667,20.95,43,2,6.69,AU,1639542684
77,nome,64.5011,-165.4064,-15.96,55,1,5.66,US,1639542684
78,kalmunai,7.4167,81.8167,26.65,79,100,1.15,LK,1639542684
79,provideniya,64.3833,-173.3,-17.94,78,90,10.0,RU,1639542684
80,den helder,52.9599,4.7593,10.99,95,90,5.36,NL,1639542670
81,albany,42.6001,-73.9662,0.45,72,99,1.26,US,1639542685
82,ciudad bolivar,8.1222,-63.5497,24.13,89,97,3.83,VE,1639542685
83,ortakoy,38.7373,34.0387,3.14,96,100,3.13,TR,1639542685
84,leningradskiy,69.3833,178.4167,-33.25,95,41,4.78,RU,1639542685
85,hermanus,-34.4187,19.2345,17.17,73,99,5.32,ZA,1639542686
86,kavieng,-2.5744,150.7967,28.68,77,97,6.22,PG,1639542686
87,grand gaube,-20.0064,57.6608,27.99,66,14,5.36,MU,1639542686
88,hilo,19.7297,-155.09,23.22,40,20,0.0,US,1639542686
89,borogontsy,62.6683,131.1683,-33.47,93,100,2.35,RU,1639542687
90,havelock,34.8791,-76.9013,9.41,92,0,2.8,US,1639542688
91,sioux lookout,50.1001,-91.917,0.21,86,1,4.63,CA,1639542688
92,adrar,20.5022,-10.0711,17.17,30,3,2.88,MR,1639542689
93,alyangula,-13.8483,136.4192,35.93,44,9,4.63,AU,1639542689
94,zhangjiakou,40.81,114.8794,0.47,38,6,1.21,CN,1639542690
95,surt,31.2089,16.5887,16.57,69,94,7.98,LY,1639542690
96,kidal,18.4411,1.4078,22.3,13,100,3.73,ML,1639542693
97,carnarvon,-24.8667,113.6333,25.04,53,0,8.75,AU,1639542520
98,yellowknife,62.456,-114.3525,-23.71,84,75,1.54,CA,1639542693
99,hami,42.8,93.45,-3.13,46,84,0.74,CN,1639542693
100,polis,35.0367,32.4264,12.9,89,27,3.45,CY,1639542693
101,palana,59.1167,159.9667,-13.07,92,100,8.48,RU,1639542694
102,lage,51.9922,8.793,8.81,97,100,1.34,DE,1639542694
103,kapaa,22.0752,-159.319,25.99,77,20,0.89,US,1639542694
104,hervey bay,-25.2986,152.8535,31.13,55,0,2.24,AU,1639542694
105,joensuu,62.6012,29.7632,-0.41,97,90,2.57,FI,1639542695
106,koungou,-12.7336,45.2042,27.84,69,40,4.63,YT,1639542695
107,benjamin constant,-4.3831,-70.0311,24.07,99,100,0.68,BR,1639542695
108,kaitangata,-46.2817,169.8464,15.52,75,100,5.97,NZ,1639542695
109,nelson bay,-32.7167,152.15,32.1,57,0,5.65,AU,1639542696
110,vardo,70.3705,31.1107,-1.89,84,98,8.76,NO,1639542696
111,port elizabeth,-33.918,25.5701,19.16,88,0,2.57,ZA,1639542696
112,ancud,-41.8697,-73.8203,10.74,88,21,1.85,CL,1639542696
113,madang,-5.2246,145.7966,29.73,68,88,2.41,PG,1639542697
114,nioro,13.35,-15.75,25.25,12,99,2.03,GM,1639542697
115,esmeraldas,-19.7625,-44.3139,21.48,97,100,1.83,BR,1639542697
116,kumasi,6.6885,-1.6244,22.17,98,60,1.57,GH,1639542697
117,olkhovka,53.2115,60.6069,-4.5,74,100,5.61,RU,1639542698
118,mangrol,21.1167,70.1167,23.14,34,61,6.83,IN,1639542698
119,arlit,18.7369,7.3853,17.69,22,98,2.32,NE,1639542698
120,bengkulu,-3.8004,102.2655,28.93,68,24,3.17,ID,1639542640
121,najran,17.4924,44.1277,7.36,20,1,0.71,SA,1639542699
122,spring valley,36.108,-115.245,8.49,56,40,11.83,US,1639542700
123,waipawa,-41.4122,175.5153,20.35,97,100,1.16,NZ,1639542700
124,nouadhibou,20.931,-17.0347,16.99,94,0,4.63,MR,1639542700
125,berezovyy,51.6667,135.7,-14.4,63,0,3.18,RU,1639542700
126,rosa zarate,0.3333,-79.4667,21.71,97,100,0.83,EC,1639542701
127,gama,42.748,-4.2068,-1.34,32,3,2.15,ES,1639542701
128,sao joao da barra,-21.6403,-41.0511,24.44,90,100,8.9,BR,1639542701
129,puerto ayora,-0.7393,-90.3518,20.31,95,68,2.86,EC,1639542701
130,barrow,71.2906,-156.7887,-24.99,77,1,2.57,US,1639542701
131,havre-saint-pierre,50.2334,-63.5986,-3.0,63,20,8.75,CA,1639542702
132,port blair,11.6667,92.75,28.21,62,81,6.23,IN,1639542702
133,labuhan,-6.8844,112.2051,29.7,67,98,1.0,ID,1639542702
134,port lincoln,-34.7333,135.8667,20.19,52,0,4.63,AU,1639542653
135,upernavik,72.7868,-56.1549,-15.56,94,100,3.94,GL,1639542702
136,xining,36.6167,101.7667,-2.25,29,62,1.83,CN,1639542703
137,seymchan,62.8833,152.4333,-29.03,97,100,1.64,RU,1639542703
138,sile,41.1754,29.6133,10.4,77,100,5.81,TR,1639542703
139,tasiilaq,65.6145,-37.6368,-0.91,68,100,2.29,GL,1639542703
140,saskylakh,71.9167,114.0833,-31.35,95,87,2.17,RU,1639542704
141,bosobolo,4.1833,19.9,24.21,42,93,0.83,CD,1639542704
142,fort saint james,54.4333,-124.25,-15.01,77,100,1.23,CA,1639542704
143,saint-francois,46.4154,3.9054,1.38,98,90,1.54,FR,1639542704
144,gat,31.61,34.7642,15.22,100,26,4.26,IL,1639542705
145,mancio lima,-7.6142,-72.8958,22.41,96,75,1.14,BR,1639542705
146,caravelas,-17.7125,-39.2481,23.59,90,100,2.17,BR,1639542705
147,camopi,3.1655,-52.3158,21.57,100,100,0.67,GF,1639542705
148,itarema,-2.9248,-39.9167,27.01,76,85,6.0,BR,1639542706
149,narsingdi,23.9208,90.7181,21.04,51,76,2.28,BD,1639542706
150,port hardy,50.6996,-127.4199,5.0,81,90,10.29,CA,1639542706
151,ahuimanu,21.4447,-157.8378,24.84,79,75,7.2,US,1639542706
152,pauini,-7.7136,-66.9764,22.95,98,100,1.02,BR,1639542707
153,kyzyl-suu,42.3414,78.0056,-3.04,67,99,0.72,KG,1639542707
154,saint george,37.1041,-113.5841,6.26,84,90,0.45,US,1639542707
155,ulladulla,-35.35,150.4667,34.87,71,45,4.42,AU,1639542707
156,hithadhoo,-0.6,73.0833,27.54,74,55,1.51,MV,1639542707
157,ilulissat,69.2167,-51.1,-17.83,81,18,1.69,GL,1639542708
158,tuatapere,-46.1333,167.6833,18.79,59,99,3.5,NZ,1639542708
159,vetralla,42.3098,12.0784,6.14,85,5,1.92,IT,1639542709
160,general roca,-39.0333,-67.5833,18.12,50,30,5.52,AR,1639542709
161,fairbanks,64.8378,-147.7164,-33.02,70,90,0.0,US,1639542627
162,homa bay,-0.5273,34.4571,20.82,84,75,1.62,KE,1639542709
163,saint-gaudens,43.0833,0.6667,5.08,72,29,2.82,FR,1639542710
164,santona,43.4439,-3.4576,8.37,68,3,2.27,ES,1639542710
165,thompson,55.7435,-97.8558,-10.91,85,90,4.12,CA,1639542710
166,baruun-urt,46.6806,113.2792,-12.6,75,100,5.99,MN,1639542685
167,balkhash,46.844,74.9804,-10.66,73,0,3.0,KZ,1639542711
168,esperance,-33.8667,121.9,22.91,50,0,6.6,AU,1639542639
169,dong hoi,17.4833,106.6,21.53,88,100,2.8,VN,1639542711
170,adeje,28.1227,-16.726,17.76,73,20,3.6,ES,1639542711
171,faanui,-16.4833,-151.75,27.78,71,9,6.36,PF,1639542711
172,matara,5.9485,80.5353,26.36,76,100,3.86,LK,1639542603
173,ust-koksa,50.2696,85.6108,-19.22,94,70,0.65,RU,1639542712
174,san cosme y damian,-27.3167,-56.35,24.1,80,100,3.79,PY,1639542712
175,nordhorn,52.4333,7.0833,9.89,95,100,5.11,DE,1639542712
176,qaanaaq,77.484,-69.3632,-19.89,91,53,2.83,GL,1639542713
177,margate,51.3813,1.3862,11.65,89,95,0.89,GB,1639542713
178,erdenet,49.0333,104.0833,-16.01,78,100,2.36,MN,1639542714
179,quatre cocos,-20.2078,57.7625,27.83,74,45,6.82,MU,1639542714
180,denpasar,-8.65,115.2167,31.81,62,40,2.57,ID,1639542688
181,nantucket,41.2835,-70.0995,7.06,57,1,5.14,US,1639542715
182,saku,36.2167,138.4833,11.38,42,2,2.91,JP,1639542475
183,kamenka,51.3223,42.7678,-1.25,94,100,2.21,RU,1639542716
184,humberto de campos,-2.5983,-43.4611,25.66,85,96,3.01,BR,1639542716
185,kharp,66.8014,65.8081,-13.37,91,97,2.96,RU,1639542716
186,dingle,10.9995,122.6711,28.22,77,81,6.23,PH,1639542716
187,barinas,8.6226,-70.2075,27.02,74,73,2.06,VE,1639542717
188,kralendijk,12.15,-68.2667,25.99,83,43,3.09,BQ,1639542717
189,montepuez,-13.1256,38.9997,23.36,73,100,3.81,MZ,1639542717
190,solnechnyy,50.7214,136.6319,-16.29,81,29,0.94,RU,1639542717
191,yatou,37.15,122.3833,9.22,41,2,2.38,CN,1639542718
192,sena madureira,-9.0656,-68.6569,22.8,99,100,1.18,BR,1639542718
193,wainwright,52.839,-110.8572,-18.4,93,100,5.78,CA,1639542718
194,lovozero,68.005,35.0117,-11.91,97,74,1.84,RU,1639542719
195,kaka,37.3482,59.6143,1.25,63,6,4.7,TM,1639542719
196,sar-e pul,35.8333,66.1667,-4.89,89,94,1.62,AF,1639542719
197,farafangana,-22.8167,47.8333,27.17,65,36,0.93,MG,1639542719
198,hobyo,5.3505,48.5268,26.55,69,95,9.43,SO,1639542720
199,comodoro rivadavia,-45.8667,-67.5,8.92,66,0,1.54,AR,1639542720
200,new philadelphia,40.4898,-81.4457,7.62,77,1,0.0,US,1639542721
201,kruisfontein,-34.0033,24.7314,14.38,73,41,2.16,ZA,1639542721
202,buchanan,5.8808,-10.0467,25.35,87,98,2.04,LR,1639542722
203,cabo san lucas,22.8909,-109.9124,24.17,76,2,3.84,MX,1639542722
204,taybad,34.74,60.7756,-1.66,70,90,5.31,IR,1639542722
205,yar-sale,66.8333,70.8333,-16.13,97,87,3.52,RU,1639542722
206,jardim,-21.4803,-56.1381,23.07,96,93,0.33,BR,1639542722
207,shache,38.4167,77.2406,0.61,37,100,1.29,CN,1639542723
208,creel,27.75,-107.6333,7.13,60,10,1.14,MX,1639542723
209,ust-kuyga,70.0167,135.6,-34.8,99,100,0.73,RU,1639542723
210,altay,47.8667,88.1167,-16.42,79,55,0.92,CN,1639542723
211,baykit,61.67,96.37,-28.65,97,96,1.03,RU,1639542724
212,bethel,41.3712,-73.414,5.83,70,1,0.0,US,1639542724
213,saravena,6.9538,-71.8752,21.22,97,41,1.22,CO,1639542724
214,kalemie,-5.9475,29.1947,21.68,82,69,0.95,CD,1639542725
215,georgetown,5.4112,100.3354,31.97,63,20,5.36,MY,1639542649
216,nemuro,43.3236,145.575,9.24,75,20,3.2,JP,1639542726
217,benjamin aceval,-24.9667,-57.5667,25.33,78,93,1.67,PY,1639542726
218,vao,-22.6667,167.4833,24.58,65,15,6.76,NC,1639542726
219,itanagar,27.1,93.6167,17.35,41,55,1.84,IN,1639542726
220,yulara,-25.2406,130.9889,31.91,33,84,5.14,AU,1639542727
221,corrente,-3.7367,-43.3394,23.58,93,89,1.44,BR,1639542727
222,geraldton,-28.7667,114.6,26.23,41,0,6.17,AU,1639542662
223,gelemso,8.8167,40.5167,16.95,58,46,0.98,ET,1639542727
224,storforshei,66.4043,14.5233,2.59,99,100,5.44,NO,1639542728
225,san borja,-14.8167,-66.85,24.77,84,88,0.55,BO,1639542729
226,port-gentil,-0.7193,8.7815,27.04,78,100,2.4,GA,1639542729
227,souillac,-20.5167,57.5167,27.98,69,40,6.17,MU,1639542729
228,galesong,-5.3166,119.3661,31.01,73,80,5.04,ID,1639542730
229,samarai,-10.6167,150.6667,29.27,67,96,4.2,PG,1639542730
230,asfi,32.2994,-9.2372,16.2,60,100,3.16,MA,1639542730
231,oktyabrskiy,54.4815,53.471,-5.71,87,100,3.72,RU,1639542731
232,warwick,41.7001,-71.4162,4.69,47,75,2.57,US,1639542480
233,bowen,-20.0167,148.2333,31.12,61,49,5.99,AU,1639542731
234,narsaq,60.9167,-46.05,-1.88,81,100,1.86,GL,1639542731
235,north bend,43.4065,-124.2243,4.92,99,90,3.09,US,1639542732
236,santa marta,11.2408,-74.199,27.03,61,20,1.03,CO,1639542732
237,agadir,30.4202,-9.5982,14.25,43,100,4.7,MA,1639542732
238,saint anthony,45.0205,-93.218,5.08,86,1,2.24,US,1639542732
239,wahiawa,21.5028,-158.0236,23.18,88,90,0.0,US,1639542733
240,cabinda,-5.55,12.2,25.42,91,99,1.65,AO,1639542733
241,katsuura,35.1333,140.3,11.02,53,0,2.55,JP,1639542733
242,pryyutivka,48.7209,33.0708,1.03,88,100,4.68,UA,1639542733
243,raudeberg,61.9875,5.1352,9.0,91,100,4.47,NO,1639542734
244,kununurra,-15.7667,128.7333,40.99,31,40,3.09,AU,1639542734
245,walvis bay,-22.9575,14.5053,14.49,87,11,2.57,NA,1639542734
246,touros,-5.1989,-35.4608,25.5,76,73,5.67,BR,1639542734
247,santo antonio do ica,-3.1022,-67.9397,23.31,99,100,0.73,BR,1639542735
248,chicama,-7.8447,-79.1469,19.2,85,45,2.37,PE,1639542735
249,khatanga,71.9667,102.5,-21.1,99,100,1.84,RU,1639542735
250,seoul,37.5683,126.9778,10.76,58,20,3.09,KR,1639542259
251,porosozero,62.7191,32.727,-3.03,98,100,2.03,RU,1639542736
252,verin,41.9415,-7.4381,8.09,60,25,0.52,ES,1639542736
253,wajima,37.4,136.9,12.38,66,40,3.6,JP,1639542736
254,hofn,64.2539,-15.2082,3.03,95,64,0.87,IS,1639542736
255,fortuna,40.5982,-124.1573,4.25,95,1,0.45,US,1639542736
256,kashi,39.4547,75.9797,0.13,54,20,2.0,CN,1639542603
257,okhotsk,59.3833,143.3,-17.87,81,100,6.41,RU,1639542737
258,mizdah,31.4451,12.9801,5.54,75,0,2.23,LY,1639542737
259,pevek,69.7008,170.3133,-29.83,85,98,1.01,RU,1639542737
260,basco,20.4487,121.9702,25.02,70,29,11.02,PH,1639542738
261,vredendal,-31.6683,18.5012,16.56,77,41,5.54,ZA,1639542738
262,hoi an,15.8794,108.335,23.98,90,100,1.9,VN,1639542601
263,monrovia,6.3005,-10.7969,25.59,86,87,2.41,LR,1639542738
264,boguchany,58.3814,97.4531,-29.56,98,53,0.94,RU,1639542739
265,champerico,14.3,-91.9167,27.24,78,27,1.77,GT,1639542739
266,northallerton,54.339,-1.4324,10.25,81,40,8.23,GB,1639542739
267,kanchanaburi,14.6333,99.1,28.48,47,15,0.82,TH,1639542739
268,terrace,54.5163,-128.6035,-6.99,73,90,7.2,CA,1639542740
269,zamora,-4.0692,-78.9567,20.28,98,97,1.34,EC,1639542740
270,seydi,39.4816,62.9137,1.36,77,16,2.82,TM,1639542740
271,santa fe,-31.6333,-60.7,21.68,74,28,0.45,AR,1639542740
272,wageningen,51.9667,5.6667,9.97,99,90,5.14,NL,1639542741
273,yantal,56.8471,105.2542,-28.48,90,28,0.6,RU,1639542741
274,sao filipe,14.8961,-24.4956,23.34,73,99,3.25,CV,1639542741
275,jiazi,22.8779,116.067,22.8,68,66,6.6,CN,1639542741
276,golden,39.7555,-105.2211,11.99,38,1,0.45,US,1639542742
277,aklavik,68.2191,-135.0107,-27.54,97,100,4.27,CA,1639542742
278,moranbah,-22.0016,148.0466,34.24,28,5,3.0,AU,1639542540
279,dauphin,51.1494,-100.0502,-5.92,96,1,1.03,CA,1639542743
280,praia da vitoria,38.7333,-27.0667,16.53,82,75,3.86,PT,1639542743
281,morondava,-20.2833,44.2833,27.53,62,65,1.99,MG,1639542744
282,tigil,57.8,158.6667,-9.29,94,100,4.41,RU,1639542744
283,lincoln,40.8,-96.667,13.02,90,1,2.24,US,1639542745
284,cidreira,-30.1811,-50.2056,21.8,93,100,8.33,BR,1639542745
285,libertador general san martin,-23.8064,-64.7876,23.3,93,91,0.54,AR,1639542746
286,umm lajj,25.0213,37.2685,24.08,52,100,0.56,SA,1639542746
287,vanimo,-2.6741,141.3028,27.18,83,100,2.56,PG,1639542746
288,eureka,40.8021,-124.1637,4.4,93,72,0.45,US,1639542747
289,talnakh,69.4865,88.3972,-23.22,97,100,6.87,RU,1639542747
290,kieta,-6.2167,155.6333,29.26,78,100,3.34,PG,1639542747
291,richards bay,-28.783,32.0377,23.25,77,4,3.34,ZA,1639542620
292,sortland,68.6949,15.4162,3.98,97,100,6.02,NO,1639542747
293,port keats,-14.25,129.55,33.67,55,3,5.76,AU,1639542748
294,kahului,20.8947,-156.47,24.36,77,40,7.72,US,1639542748
295,sakakah,29.9697,40.2064,11.76,53,0,2.92,SA,1639542748
296,ponta do sol,32.6667,-17.1,14.45,85,95,3.17,PT,1639542749
297,pangnirtung,66.1451,-65.7125,-29.1,93,54,2.04,CA,1639542749
298,sola,-13.8833,167.55,27.56,79,100,8.43,VU,1639542750
299,pokrovsk,48.282,37.1758,1.58,97,100,3.64,UA,1639542750
300,tias,28.9611,-13.645,17.86,59,99,8.23,ES,1639542751
301,portland,45.5234,-122.6762,4.54,90,20,0.89,US,1639542751
302,shima,24.4478,117.8111,24.01,57,69,1.5,CN,1639542751
303,armidale,-30.5167,151.65,26.56,31,3,2.36,AU,1639542752
304,laguna,38.421,-121.4238,6.99,91,1,0.0,US,1639542752
305,pierre,44.3683,-100.351,3.51,70,1,4.63,US,1639542752
306,kirakira,-10.4544,161.9205,29.72,75,98,3.89,SB,1639542752
307,kandrian,-6.2167,149.55,29.13,74,100,1.3,PG,1639542752
308,honningsvag,70.9821,25.9704,-3.26,79,46,9.27,NO,1639542753
309,mahajanga,-15.7167,46.3167,28.01,57,20,6.69,MG,1639542753
310,sinnamary,5.3833,-52.95,24.78,90,72,2.75,GF,1639542753
311,sayat,38.7839,63.8803,-0.07,67,7,2.08,TM,1639542753
312,vila velha,-20.3297,-40.2925,24.97,89,100,2.24,BR,1639542753
313,hokitika,-42.7167,170.9667,20.13,59,99,3.79,NZ,1639542754
314,zhezkazgan,47.8043,67.7144,-14.01,72,98,1.0,KZ,1639542754
315,sambava,-14.2667,50.1667,27.0,67,6,3.91,MG,1639542754
316,derzhavinsk,51.1,66.3167,-7.22,79,100,6.34,KZ,1639542754
317,qaqortoq,60.7167,-46.0333,-1.72,85,100,1.71,GL,1639542754
318,edd,13.9297,41.6925,26.18,53,76,8.73,ER,1639542755
319,balykshi,47.0667,51.8667,-4.0,86,67,9.0,KZ,1639542755
320,yuanping,38.7153,112.7575,3.27,31,100,1.38,CN,1639542756
321,guerrero negro,27.9769,-114.0611,15.62,75,65,2.26,MX,1639542756
322,korhogo,9.45,-5.6333,22.7,56,73,1.95,CI,1639542756
323,commerce,34.0006,-118.1598,11.81,77,1,0.0,US,1639542756
324,half moon bay,37.4636,-122.4286,7.95,85,75,2.06,US,1639542757
325,kiama,-34.6833,150.8667,28.71,59,37,4.88,AU,1639542687
326,naryan-mar,67.6713,53.087,-7.72,96,99,2.97,RU,1639542757
327,abu kamal,34.4506,40.9171,12.28,33,5,4.19,SY,1639542757
328,slave lake,55.2834,-114.769,-21.01,77,90,6.69,CA,1639542757
329,dargaville,-35.9333,173.8833,22.23,63,2,5.55,NZ,1639542758
330,mackenzie,55.2999,-123.1698,-14.88,72,90,1.03,CA,1639542758
331,bose,45.4612,8.0137,5.39,86,67,1.01,IT,1639542758
332,port washington,40.8257,-73.6982,8.68,56,75,2.68,US,1639542758
333,salinopolis,-0.6136,-47.3561,27.06,80,61,5.65,BR,1639542759
334,san cristobal,7.7669,-72.225,22.1,97,76,1.07,VE,1639542759
335,shubarshi,48.5872,57.1869,-7.73,78,96,3.23,KZ,1639542759
336,tombouctou,20.0,-3.0,23.52,28,100,2.4,ML,1639542759
337,edendale,-29.6528,30.3147,18.12,85,36,1.96,ZA,1639542760
338,makakilo city,21.3469,-158.0858,24.18,78,40,3.6,US,1639542761
339,kapit,2.0167,112.9333,33.11,56,94,0.97,MY,1639542761
340,clyde river,70.4692,-68.5914,-29.87,76,16,2.57,CA,1639542729
341,mut,36.6439,33.4389,8.91,94,95,1.21,TR,1639542761
342,tura,25.5198,90.2201,23.09,50,80,0.6,IN,1639542761
343,avera,33.194,-82.5271,11.93,60,0,3.05,US,1639542762
344,lajosmizse,47.0213,19.5617,-1.97,93,40,0.0,HU,1639542762
345,ankara,39.9199,32.8543,5.67,97,75,0.45,TR,1639542577
346,madaoua,14.073,5.96,16.44,18,57,5.02,NE,1639542762
347,viedma,-40.8135,-62.9967,16.63,76,71,2.87,AR,1639542763
348,crotone,39.0851,17.1178,6.63,68,11,9.1,IT,1639542763
349,sitka,57.0531,-135.33,-2.06,69,90,0.0,US,1639542763
350,bathsheba,13.2167,-59.5167,27.34,74,40,8.75,BB,1639542763
351,coihaique,-45.5752,-72.0662,11.34,81,40,1.03,CL,1639542764
352,sidhi,24.4167,81.8833,21.35,33,97,1.56,IN,1639542764
353,ocos,14.5094,-92.1933,27.22,79,8,2.03,GT,1639542764
354,meadow lake,34.8014,-106.5436,10.94,57,99,7.46,US,1639542764
355,ketchikan,55.3422,-131.6461,-2.74,74,90,0.0,US,1639542765
356,namatanai,-3.6667,152.4333,29.86,69,99,4.36,PG,1639542765
357,guiratinga,-16.3494,-53.7583,21.53,96,100,1.04,BR,1639542765
358,izumo,35.3667,132.7667,12.94,67,75,3.6,JP,1639542670
359,alofi,-19.0595,-169.9187,26.94,78,14,4.63,NU,1639542766
360,bugalagrande,4.2121,-76.1556,18.92,94,83,0.44,CO,1639542766
361,xuddur,4.1213,43.8894,23.56,69,72,8.96,SO,1639542766
362,eldorado,-23.7869,-54.2836,26.71,81,100,1.71,BR,1639542766
363,lithakia,37.7167,20.8333,9.68,65,3,5.14,GR,1639542767
364,gorontalo,0.5412,123.0595,31.06,66,89,1.92,ID,1639542769
365,tashla,51.7716,52.7427,-6.06,89,100,3.42,RU,1639542631
366,damascus,33.5102,36.2913,10.19,69,1,2.01,SY,1639542769
367,doha,25.2867,51.5333,18.99,82,96,0.0,QA,1639542564
